Date,Open,High,Low,Close,Adj Close,Volume
1/1/05,2.199,2.427,2.197,2.422,2.422,315900
2/1/05,2.457,2.703,2.422,2.69,2.69,2959200
3/1/05,2.697,2.818,2.672,2.722,2.722,2008200
4/1/05,2.727,2.872,2.683,2.837,2.837,631600
5/1/05,2.837,2.895,2.711,2.882,2.882,474000
6/1/05,2.907,3.083,2.882,3.06,3.06,158000
7/1/05,3.06,3.359,3.058,3.332,3.332,473700
8/1/05,3.335,3.507,3.335,3.43,3.43,0
9/1/05,3.428,3.555,3.298,3.47,3.47,0
10/1/05,3.475,3.847,3.36,3.805,3.805,0
11/1/05,3.865,3.93,3.82,3.857,3.857,0
12/1/05,3.852,4.015,3.397,3.985,3.985,0
1/1/06,4.025,4.375,4.005,4.37,4.37,0
2/1/06,4.352,4.512,4.34,4.507,4.507,0
3/1/06,4.497,4.582,4.242,4.515,4.515,0
4/1/06,4.515,4.69,4.502,4.65,4.65,0
5/1/06,4.65,4.847,4.637,4.715,4.715,0
6/1/06,4.722,4.92,4.672,4.86,4.86,0
7/1/06,4.885,5.03,4.855,4.935,4.935,0
8/1/06,4.935,5.01,4.9,4.905,4.905,0
9/1/06,4.905,4.91,4.72,4.76,4.76,0
10/1/06,4.775,5.005,4.75,4.94,4.94,0
11/1/06,4.94,4.965,4.88,4.89,4.89,0
12/1/06,4.89,4.9,4.75,4.885,4.885,0
1/1/07,4.92,5.015,4.885,4.975,4.975,0
2/1/07,4.975,5.045,4.96,4.995,4.995,0
3/1/07,4.98,4.995,4.87,4.895,4.895,0
4/1/07,4.89,4.91,4.65,4.725,4.725,0
5/1/07,4.765,4.775,4.565,4.59,4.59,0
6/1/07,4.62,4.73,4.35,4.67,4.67,0
7/1/07,4.715,4.88,4.69,4.81,4.81,0
8/1/07,4.77,4.83,2.4,3.99,3.99,0
9/1/07,4.125,4.29,3.5,3.7,3.7,0
10/1/07,3.81,4.18,3.5,3.82,3.82,0
11/1/07,3.8,3.8,2.8,3.07,3.07,0
12/1/07,3.09,3.28,2.65,3.14,3.14,0
1/1/08,3.265,3.3,1.8,1.87,1.87,0
2/1/08,1.96,2.26,1.7,1.785,1.785,0
3/1/08,1.835,1.845,0.2,1.275,1.275,0
4/1/08,1.38,1.45,1,1.34,1.34,0
5/1/08,1.35,1.91,1.31,1.85,1.85,0
6/1/08,1.84,2.01,1.6,1.705,1.705,0
7/1/08,1.83,1.86,1.25,1.635,1.635,0
8/1/08,1.63,1.87,1.53,1.69,1.69,0
9/1/08,1.695,1.75,0.01,0.9,0.9,0
10/1/08,0.75,1.26,0.02,0.435,0.435,0
11/1/08,0.44,0.505,0.005,0.02,0.02,0
12/1/08,0.02,0.115,0.005,0.115,0.115,0
1/1/09,0.095,0.24,0.05,0.22,0.22,0
2/1/09,0.21,0.335,0.21,0.25,0.25,0
3/1/09,0.245,0.27,0.115,0.2,0.2,0
4/1/09,0.205,0.225,0.065,0.125,0.125,0
5/1/09,0.13,0.19,0.12,0.13,0.13,0
6/1/09,0.14,0.21,0.05,0.18,0.18,0
7/1/09,0.175,0.185,0.12,0.175,0.175,0
8/1/09,0.175,0.18,0.1,0.13,0.13,0
9/1/09,0.145,0.145,0.065,0.115,0.115,0
10/1/09,0.095,0.11,0.04,0.045,0.045,0
11/1/09,0.055,0.065,0.005,0.05,0.05,0
12/1/09,0.055,0.11,0.01,0.05,0.05,0
1/1/10,0.08,0.08,0.015,0.07,0.07,0
2/1/10,0.06,0.13,0.06,0.115,0.115,0
3/1/10,0.125,0.16,0.115,0.15,0.15,0
4/1/10,0.15,0.17,0.13,0.155,0.155,0
5/1/10,0.155,0.17,0.08,0.15,0.15,0
6/1/10,0.155,0.18,0.05,0.17,0.17,0
7/1/10,0.17,0.17,0.135,0.14,0.14,0
8/1/10,0.14,0.155,0.125,0.135,0.135,0
9/1/10,0.135,0.16,0.12,0.155,0.155,0
10/1/10,0.155,0.155,0.11,0.11,0.11,0
11/1/10,0.11,0.165,0.1,0.16,0.16,0
12/1/10,0.16,0.16,0.09,0.115,0.115,0
1/1/11,0.135,0.16,0.11,0.145,0.145,0
2/1/11,0.15,0.155,0.075,0.135,0.135,0
3/1/11,0.14,0.14,0.06,0.09,0.09,0
4/1/11,0.045,0.09,0.015,0.04,0.04,0
5/1/11,0.04,0.055,0.005,0.04,0.04,0
6/1/11,0.055,0.055,0.005,0.015,0.015,0
7/1/11,0.025,0.095,0.005,0.09,0.09,0
8/1/11,0.075,0.09,0.005,0.015,0.015,0
9/1/11,0.01,0.025,0.005,0.01,0.01,0
10/1/11,0.015,0.03,0.005,0.005,0.005,0
11/1/11,0.005,0.02,0.005,0.015,0.015,0
12/1/11,0.015,0.015,0.005,0.005,0.005,0
1/1/12,0.015,0.055,0.005,0.055,0.055,0
2/1/12,0.055,0.12,0.055,0.075,0.075,0
3/1/12,0.07,0.095,0.055,0.065,0.065,0
4/1/12,0.065,0.095,0.055,0.09,0.09,0
5/1/12,0.095,0.1,0.05,0.06,0.06,0
6/1/12,0.055,0.1,0.055,0.08,0.08,0
7/1/12,0.085,0.105,0.06,0.1,0.1,0
8/1/12,0.09,0.115,0.07,0.085,0.085,0
9/1/12,0.095,0.11,0.08,0.09,0.09,0
10/1/12,0.09,0.115,0.08,0.105,0.105,0
11/1/12,0.1,0.105,0.065,0.075,0.075,0
12/1/12,0.08,0.092,0.005,0.035,0.035,0
1/1/13,0.052,0.083,0.048,0.065,0.065,0
2/1/13,0.065,0.12,0.055,0.1,0.1,0
3/1/13,0.1,0.102,0.055,0.065,0.065,0
4/1/13,0.07,0.07,0.043,0.045,0.045,0
5/1/13,0.048,0.05,0.022,0.03,0.03,0
6/1/13,0.03,0.058,0.025,0.03,0.03,0
7/1/13,0.035,0.045,0.005,0.03,0.03,0
8/1/13,0.03,0.052,0.013,0.02,0.02,0
